Iteracion;Dia;Reloj_Absoluto;Reloj_Dia;Evento;RND_Llegada;T_Llegada;Prox_Llegada;RND_Preferencia;Preferencia_Cliente;Aprendiz_Estado;Aprendiz_Fin;VetA_Estado;VetA_Fin;VetB_Estado;VetB_Fin;Tamaño_Cola;Total_Abandonos
1;1;0.0;0.0;Inicializacion;0.9577;-;11.58;-;-;Peluquero Aprendiz: Libre;-;Peluquero Veterano A: Libre;-;Peluquero Veterano B: Libre;-;0;0
58;1;241.49;241.49;Fin Atencion VB;-;-;245.67;-;-;Peluquero Aprendiz: Ocupado atendiendo al cliente 29 hasta el tiempo 257.59;257.59;Peluquero Veterano A: Libre;-;Peluquero Veterano B: Ocupado atendiendo al cliente 30 hasta el tiempo 257.72;257.72;0;1
59;1;245.67;245.67;Llegada Cliente;0.1291;Calculado;248.96;Calculado;Calculado;Peluquero Aprendiz: Ocupado atendiendo al cliente 29 hasta el tiempo 257.59;257.59;Peluquero Veterano A: Ocupado atendiendo al cliente 31 hasta el tiempo 257.10;257.1;Peluquero Veterano B: Ocupado atendiendo al cliente 30 hasta el tiempo 257.72;257.72;0;1
60;1;248.96;248.96;Llegada Cliente;0.1476;Calculado;252.44;Calculado;Calculado;Peluquero Aprendiz: Ocupado atendiendo al cliente 29 hasta el tiempo 257.59;257.59;Peluquero Veterano A: Ocupado atendiendo al cliente 31 hasta el tiempo 257.10;257.1;Peluquero Veterano B: Ocupado atendiendo al cliente 30 hasta el tiempo 257.72;257.72;1;1
61;1;252.44;252.44;Llegada Cliente;0.4198;Calculado;258.63;Calculado;Calculado;Peluquero Aprendiz: Ocupado atendiendo al cliente 29 hasta el tiempo 257.59;257.59;Peluquero Veterano A: Ocupado atendiendo al cliente 31 hasta el tiempo 257.10;257.1;Peluquero Veterano B: Ocupado atendiendo al cliente 30 hasta el tiempo 257.72;257.72;2;1
62;1;257.1;257.1;Fin Atencion VA;-;-;258.63;-;-;Peluquero Aprendiz: Ocupado atendiendo al cliente 29 hasta el tiempo 257.59;257.59;Peluquero Veterano A: Libre;-;Peluquero Veterano B: Ocupado atendiendo al cliente 30 hasta el tiempo 257.72;257.72;2;1
63;1;257.59;257.59;Fin Atencion Ap;-;-;258.63;-;-;Peluquero Aprendiz: Libre;-;Peluquero Veterano A: Libre;-;Peluquero Veterano B: Ocupado atendiendo al cliente 30 hasta el tiempo 257.72;257.72;2;1
64;1;257.72;257.72;Fin Atencion VB;-;-;258.63;-;-;Peluquero Aprendiz: Libre;-;Peluquero Veterano A: Libre;-;Peluquero Veterano B: Ocupado atendiendo al cliente 32 hasta el tiempo 271.89;271.89;1;1
65;1;258.63;258.63;Llegada Cliente;0.5078;Calculado;265.71;Calculado;Calculado;Peluquero Aprendiz: Ocupado atendiendo al cliente 34 hasta el tiempo 284.31;284.31;Peluquero Veterano A: Libre;-;Peluquero Veterano B: Ocupado atendiendo al cliente 32 hasta el tiempo 271.89;271.89;1;1
66;1;265.71;265.71;Llegada Cliente;0.033;Calculado;268.04;Calculado;Calculado;Peluquero Aprendiz: Ocupado atendiendo al cliente 34 hasta el tiempo 284.31;284.31;Peluquero Veterano A: Libre;-;Peluquero Veterano B: Ocupado atendiendo al cliente 32 hasta el tiempo 271.89;271.89;2;1
67;1;268.04;268.04;Llegada Cliente;0.4614;Calculado;274.66;Calculado;Calculado;Peluquero Aprendiz: Ocupado atendiendo al cliente 34 hasta el tiempo 284.31;284.31;Peluquero Veterano A: Libre;-;Peluquero Veterano B: Ocupado atendiendo al cliente 32 hasta el tiempo 271.89;271.89;3;1
68;1;271.89;271.89;Fin Atencion VB;-;-;274.66;-;-;Peluquero Aprendiz: Ocupado atendiendo al cliente 34 hasta el tiempo 284.31;284.31;Peluquero Veterano A: Libre;-;Peluquero Veterano B: Ocupado atendiendo al cliente 33 hasta el tiempo 286.48;286.48;2;1
69;1;274.66;274.66;Llegada Cliente;0.0472;Calculado;277.13;Calculado;Calculado;Peluquero Aprendiz: Ocupado atendiendo al cliente 34 hasta el tiempo 284.31;284.31;Peluquero Veterano A: Ocupado atendiendo al cliente 37 hasta el tiempo 286.00;286.0;Peluquero Veterano B: Ocupado atendiendo al cliente 33 hasta el tiempo 286.48;286.48;2;1
70;1;277.13;277.13;Llegada Cliente;0.8768;Calculado;287.9;Calculado;Calculado;Peluquero Aprendiz: Ocupado atendiendo al cliente 34 hasta el tiempo 284.31;284.31;Peluquero Veterano A: Ocupado atendiendo al cliente 37 hasta el tiempo 286.00;286.0;Peluquero Veterano B: Ocupado atendiendo al cliente 33 hasta el tiempo 286.48;286.48;3;1
71;1;284.31;284.31;Fin Atencion Ap;-;-;287.9;-;-;Peluquero Aprendiz: Libre;-;Peluquero Veterano A: Ocupado atendiendo al cliente 37 hasta el tiempo 286.00;286.0;Peluquero Veterano B: Ocupado atendiendo al cliente 33 hasta el tiempo 286.48;286.48;3;1
72;1;286.0;286.0;Fin Atencion VA;-;-;287.9;-;-;Peluquero Aprendiz: Libre;-;Peluquero Veterano A: Libre;-;Peluquero Veterano B: Ocupado atendiendo al cliente 33 hasta el tiempo 286.48;286.48;3;1
73;1;286.48;286.48;Fin Atencion VB;-;-;287.9;-;-;Peluquero Aprendiz: Libre;-;Peluquero Veterano A: Libre;-;Peluquero Veterano B: Ocupado atendiendo al cliente 35 hasta el tiempo 302.13;302.13;2;1
74;1;287.9;287.9;Llegada Cliente;0.4905;Calculado;294.8;Calculado;Calculado;Peluquero Aprendiz: Libre;-;Peluquero Veterano A: Libre;-;Peluquero Veterano B: Ocupado atendiendo al cliente 35 hasta el tiempo 302.13;302.13;3;1
75;1;294.8;294.8;Llegada Cliente;0.6046;Calculado;302.85;Calculado;Calculado;Peluquero Aprendiz: Libre;-;Peluquero Veterano A: Ocupado atendiendo al cliente 40 hasta el tiempo 306.92;306.92;Peluquero Veterano B: Ocupado atendiendo al cliente 35 hasta el tiempo 302.13;302.13;3;1
76;1;298.04;298.04;Abandono;-;-;302.85;-;-;Peluquero Aprendiz: Libre;-;Peluquero Veterano A: Ocupado atendiendo al cliente 40 hasta el tiempo 306.92;306.92;Peluquero Veterano B: Ocupado atendiendo al cliente 35 hasta el tiempo 302.13;302.13;2;2
77;1;302.13;302.13;Fin Atencion VB;-;-;302.85;-;-;Peluquero Aprendiz: Libre;-;Peluquero Veterano A: Ocupado atendiendo al cliente 40 hasta el tiempo 306.92;306.92;Peluquero Veterano B: Ocupado atendiendo al cliente 38 hasta el tiempo 320.09;320.09;1;2
78;1;302.85;302.85;Llegada Cliente;0.068;Calculado;305.53;Calculado;Calculado;Peluquero Aprendiz: Libre;-;Peluquero Veterano A: Ocupado atendiendo al cliente 40 hasta el tiempo 306.92;306.92;Peluquero Veterano B: Ocupado atendiendo al cliente 38 hasta el tiempo 320.09;320.09;2;2
